bin,red,green,blue
120,0.006780893,0.001858775,0.000145379
121,0.006053998,0.001547248,0.000176532
122,0.005669782,0.001142264,0.000176532
123,0.005244029,0.000976116,0.000228453
124,0.00482866,0.000944964,0.000207684
125,0.004724818,0.000841121,0.000114226
126,0.004984424,0.000498442,0.000218069
127,0.005150571,0.000446521,0.000228453
128,0.004807892,0.000238837,0.000228453
129,0.005202492,0.0001973,0.000186916
130,0.005649013,0.000228453,0.000186916
131,0.005628245,0.000207684,0.000207684
132,0.005784008,0.000249221,0.000249221
133,0.005410177,0.000207684,0.000238837
134,0.00556594,0.000249221,0.000176532
135,0.006303219,0.000218069,0.000249221
136,0.00536864,0.000166147,0.000321911
137,0.006240914,0.000228453,0.000228453
138,0.006770509,0.000238837,0.000290758
139,0.007715472,0.000321911,0.000207684
140,0.008047767,0.000228453,0.000280374
141,0.008286604,0.000249221,0.000373832
142,0.008836968,0.000176532,0.00046729
143,0.009356179,0.000301142,0.000602285
144,0.009252336,0.0001973,0.000913811
145,0.007954309,0.00026999,0.001516096
146,0.007300104,0.000186916,0.002076843
147,0.006282451,0.000353063,0.003001038
148,0.005545171,0.000519211,0.004143302
149,0.006126687,0.000488058,0.005867082
150,0.006199377,0.000612669,0.006905504
151,0.006812046,0.000716511,0.004485981
152,0.007995846,0.001640706,0.002606438
153,0.009833853,0.00231568,0.000976116
154,0.009044652,0.00403946,0.000571132
155,0.006479751,0.005223261,0.000560748
156,0.004610592,0.006739356,0.000477674
157,0.002616822,0.006645898,0.000456906
158,0.001744548,0.00344756,0.000456906
159,0.001505711,0.00172378,0.000737279
160,0.001225337,0.000602285,0.001090343
161,0.000913811,0.000612669,0.001775701
162,0.000944964,0.000415369,0.003437175
163,0.001079958,0.000415369,0.005327103
164,0.00184839,0.000716511,0.006905504
165,0.003021807,0.000965732,0.007964694
166,0.004672897,0.001910696,0.008328141
167,0.006905504,0.003260644,0.008390447
168,0.008037383,0.004922118,0.007673936
169,0.008141225,0.006770509,0.006957425
170,0.008795431,0.007892004,0.005908619
171,0.00815161,0.007964694,0.004859813
172,0.007030114,0.008920042,0.003541018
173,0.005929387,0.008006231,0.003167186
174,0.00529595,0.007165109,0.002201454
175,0.003811007,0.006178609,0.000996885
176,0.002751817,0.005638629,0.000674974
177,0.002222222,0.00423676,0.00086189
178,0.001360332,0.002731049,0.000965732
179,0.000955348,0.00165109,0.001619938
180,0.001609553,0.001152648,0.001879543
181,0.002170301,0.001007269,0.001048806
182,0.001422638,0.001682243,0.000456906
183,0.000674974,0.002305296,0.000166147
184,0.000238837,0.001183801,3.11526E-05
185,6.23053E-05,0.000539979,1.03842E-05
186,1.03842E-05,0.000166147,0
187,0,3.11526E-05,0
188,0,1.03842E-05,0
189,0,0,0
190,0,0,0
191,0,0,0
192,0,0,0
193,0,0,0
194,0,0,0
195,0,0,0
196,0,0,0
197,0,0,0
198,0,0,0
199,0,0,0
200,0,0,0
201,0,0,0
202,0,0,0
203,0,0,0
204,0,0,0
205,0,0,0
206,0,0,0
207,0,0,0
208,0,0,0
209,0,0,0
210,0,0,0
211,0,0,0
212,0,0,0
213,0,0,0
214,0,0,0
215,0,0,0
216,0,0,0
217,0,0,0
218,0,0,0
219,0,0,0
220,0,0,0
221,0,0,0
222,0,0,0
223,0,0,0
224,0,0,0
225,0,0,0
226,0,0,0
227,0,0,0
228,0,0,0
229,0,0,0
230,0,0,0
231,0,0,0
232,0,0,0
233,0,0,0
234,0,0,0
235,0,0,0
236,0,0,0
237,0,0,0
238,0,0,0
239,0,0,0
240,0,0,0
241,0,0,0
242,0,0,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
